custid,orderid,date,price,qty
100455,725001,2025-04-09,35.94,1
100456,729794,2025-06-21,47.94,1
100457,730865,2025-07-05,38.34,2
100458,707160,2024-04-06,23.94,1
100459,714117,2024-08-21,69.48,2
100460,709646,2024-05-17,22.8,1
100461,758980,2026-05-07,28.8,1
100462,700931,2024-01-13,119.82,3
100462,735823,2025-09-05,119.88,2
100462,754428,2026-03-17,95.88,2
100463,742486,2025-11-18,35.94,1
100464,746818,2025-12-27,83.88,2
100465,728764,2025-06-07,23.94,1
100466,760469,2026-05-17,71.88,2
100467,715108,2024-09-13,28.8,1
100468,752269,2026-02-22,35.94,1
100469,732086,2025-07-21,47.94,1
100470,746524,2025-12-25,109.02,3
100471,737248,2025-09-22,20.34,1
100472,729911,2025-06-23,23.94,1
100473,725950,2025-04-26,34.74,1
100474,703292,2024-02-15,28.8,1
100475,704190,2024-02-27,23.94,1
100476,703424,2024-02-17,62.28,2
100477,731367,2025-07-12,29.94,1
100478,745040,2025-12-12,28.8,1
100479,752841,2026-02-28,35.94,1
100480,700018,2024-01-01,47.88,2
100480,713802,2024-08-14,47.88,2
100480,732307,2025-07-25,47.88,2
100480,749727,2026-01-29,19.14,1
100481,729114,2025-06-12,47.94,1
100482,732756,2025-07-30,91.02,3
100483,721690,2025-02-12,34.74,1
100484,728890,2025-06-08,28.8,1
100485,755625,2026-03-31,35.94,1
100486,743617,2025-11-30,71.88,2
100487,738196,2025-10-03,143.94,1
100488,719734,2025-01-02,28.8,1
100489,708438,2024-04-26,119.88,2
100489,719068,2024-12-19,119.88,2
100489,730906,2025-07-06,119.88,2
100490,735703,2025-09-03,34.74,1
100491,727076,2025-05-13,35.94,1
100492,745346,2025-12-14,35.94,1
100493,708144,2024-04-21,28.8,1
100494,702625,2024-02-06,34.74,1
100495,757247,2026-04-17,77.88,2
100496,700923,2024-01-13,68.28,2
100496,706379,2024-03-28,95.82,3
100496,714885,2024-09-08,55.08,2
100496,718881,2024-12-14,55.08,2
100496,722439,2025-02-25,34.74,1
100496,723470,2025-03-15,41.94,1
100496,725060,2025-04-10,35.94,1
100496,734782,2025-08-23,35.94,1
100497,702683,2024-02-07,80.22,3
100497,704669,2024-03-04,41.94,1
100497,706009,2024-03-23,83.88,2
100497,708367,2024-04-24,103.02,3
100497,710278,2024-05-27,61.08,2
100497,711143,2024-06-16,83.88,2
100497,712223,2024-07-08,71.88,2
100497,713434,2024-08-05,71.88,2
100497,714307,2024-08-25,41.94,1
100497,715369,2024-09-18,149.88,2
100497,718117,2024-11-21,59.88,2
100497,719126,2024-12-20,59.88,2
100497,722335,2025-02-23,47.94,1
100497,731113,2025-07-08,95.88,2
100498,732759,2025-07-31,49.08,2
100499,758934,2026-05-06,35.94,1
100500,738211,2025-10-03,71.88,2
100501,713990,2024-08-18,119.94,1
100502,740668,2025-10-31,37.14,1
100503,723648,2025-03-18,35.94,1
100503,724127,2025-03-25,19.14,1
100504,753945,2026-03-11,41.94,1
100505,723599,2025-03-17,35.94,1
100506,739375,2025-10-17,47.94,1
100507,716259,2024-10-10,47.94,1
100508,749394,2026-01-26,47.94,1
100509,715092,2024-09-13,47.88,2
100510,749370,2026-01-25,74.28,2
100511,710789,2024-06-08,41.94,1
100512,751316,2026-02-14,47.94,1
100513,701760,2024-01-25,35.99,1
100514,702552,2024-02-05,34.74,1
100515,703906,2024-02-23,43.2,1
100516,700031,2024-01-01,69.48,2
